Channel Id,Channel Url,Channel Title
UCJXa3_WNNmIpewOtCHf3B0g,http://www.youtube.com/channel/UCJXa3_WNNmIpewOtCHf3B0g,LaurieWired
UCJdxdc4MqvZRD9oFYoCl7wQ,http://www.youtube.com/channel/UCJdxdc4MqvZRD9oFYoCl7wQ,Tom Simons
UCJmlLMsfdZ6BsPmb7ocebTg,http://www.youtube.com/channel/UCJmlLMsfdZ6BsPmb7ocebTg,Frugal Radio
UCKKge_0EklXt3n9CUyxStRA,http://www.youtube.com/channel/UCKKge_0EklXt3n9CUyxStRA,Astro
UCKQ-wNdh0kO5qnpPfXa2hjQ,http://www.youtube.com/channel/UCKQ-wNdh0kO5qnpPfXa2hjQ,Ranboo
UCL5_zTFVz9zbq1raATeFXpw,http://www.youtube.com/channel/UCL5_zTFVz9zbq1raATeFXpw,David Castello-Lopes - L'INTÉGRALE 
UCLOAPb7ATQUs_nDs9ViLcMw,http://www.youtube.com/channel/UCLOAPb7ATQUs_nDs9ViLcMw,Benjamin Code
UCLOLMiAsJjfSu4E8vpDVQmg,http://www.youtube.com/channel/UCLOLMiAsJjfSu4E8vpDVQmg,Legendes Industries
UCLTR2eEcTbClMYFYj8XvE5g,http://www.youtube.com/channel/UCLTR2eEcTbClMYFYj8XvE5g,Tales from the S-Bahn
UCLbDGMTQWu1tLqMn3u51aTQ,http://www.youtube.com/channel/UCLbDGMTQWu1tLqMn3u51aTQ,iTransports
UCMQSwUNSnMOP4IRysfeg8EA,http://www.youtube.com/channel/UCMQSwUNSnMOP4IRysfeg8EA,Simon Puech
UCMmA0XxraDP7ZVbv4eY3Omg,http://www.youtube.com/channel/UCMmA0XxraDP7ZVbv4eY3Omg,DSLR Video Shooter
UCMwLVepB4YOgpyo48iyg7HA,http://www.youtube.com/channel/UCMwLVepB4YOgpyo48iyg7HA,Vercidium
UCNiauGTV7XhkOpUAIXod4xA,http://www.youtube.com/channel/UCNiauGTV7XhkOpUAIXod4xA,Léo Duff
UCOojfmX4Wq3Ww-XP_IkvviQ,http://www.youtube.com/channel/UCOojfmX4Wq3Ww-XP_IkvviQ,True Cuckoo
UCQ7v4LecseCxwHlFxYDmAnw,http://www.youtube.com/channel/UCQ7v4LecseCxwHlFxYDmAnw,
UCQVaKQcp4OxSg1eC6SF3NTw,http://www.youtube.com/channel/UCQVaKQcp4OxSg1eC6SF3NTw,Feldup
UCR-DXc1voovS8nhAvccRZhg,http://www.youtube.com/channel/UCR-DXc1voovS8nhAvccRZhg,Jeff Geerling
UCR1D15p_vdP3HkrH8wgjQRw,http://www.youtube.com/channel/UCR1D15p_vdP3HkrH8wgjQRw,Internet Historian
UCS2bqg2fUHLqPMNhH58gaQw,http://www.youtube.com/channel/UCS2bqg2fUHLqPMNhH58gaQw,Nattie Forsyth
UCS4VF82zPujSxWImAwjxJOw,http://www.youtube.com/channel/UCS4VF82zPujSxWImAwjxJOw,Middle Things
UCSFAYalJ2Q7Tm_WmLgetmeg,http://www.youtube.com/channel/UCSFAYalJ2Q7Tm_WmLgetmeg,Filmmaker IQ
